No,施設名,〒,所在地1,所在地2,℡,開　 設 年月日,解説者,管理者,内科,呼吸器内科,循環器内科,消化器内科,腎臓内科,神経内科,糖尿病内科,血液内科,皮膚科,アレルギー科,リウマチ科,感染症内科,小児科,精神科,心療内科,外科,呼吸器外科,循環器外科,乳腺外科,気管食道外科,消化器外科,泌尿器科,肛門外科,脳神経外科,整形外科,形成外科,美容外科,眼科,耳鼻咽喉科,小児外科,産婦人科,産科,婦人科,リハビリテーション科,放射線科,麻酔科,病理診断科,臨床検査科,救急科,一般病床,療養病床,計,備考,歯科標榜,緯度,経度
397,加納耳鼻咽喉科医院,940-2113,長岡市,大山2-8-4,0258-28-0303,平成1年4月1日,(医社）加納医院,加納　昭彦,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,0,,,37.442101,138.816711
398,かわさき内科クリニック,940-0864,長岡市,川崎2-2477-1,0258-34-1180,平成11年5月1日,(医社）かわさき内科クリニック,高野　吉行,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,37.452095,138.867813
399,かわじ整形外科,940-0856,長岡市,美沢2丁目55番地1,0258-36-6300,平成19年6月1日,河路　洋一,河路　洋一,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,0,,,37.439964,138.866364
400,生協かんだ診療所,940-0024,長岡市,西新町2丁目3番22号,0258-32-2887,平成15年4月1日,ながおか医療生活協同組合,星野　智,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,0,,,37.465511,138.854843
401,草間医院,940-0071,長岡市,表町4-1-3,0258-32-0289,平成18年8月1日,草間　昭夫,草間　昭夫,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,37.451588,138.848450
402,窪田医院,940-1151,長岡市,三和1-3-27,0258-39-3193,平成9年8月1日,窪田　久,窪田　久,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,37.432728,138.843658
403,特別養護老人ホーム岡南の郷医務室,940-1132,長岡市,渡沢町字早田53,0258-23-7511,平成13年4月9日,(社福）信濃川令終会,江部　佑輔,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,37.365974,138.854782
404,特別養護老人ホームこぶし園診療所,940-2121,長岡市,喜多町2900番地,0258-20-5170,平成26年3月1日,社会福祉法人　長岡福祉協会,本田　雅浩,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,37.453239,138.805374
405,さいとう医院,940-2105,長岡市,緑町1-38-56,0258-28-1158,昭和61年12月1日,(医社）さいとう医院,齋藤　淳志,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,37.450401,138.822281
406,幸町耳鼻咽喉科,940-0084,長岡市,幸町1-4-3,0258-37-4111,平成9年9月1日,(医社）幸町耳鼻咽喉科,佐藤　浩司,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,0,,,37.436691,138.841675
407,長岡皮フ科・形成外科医院,940-0041,長岡市,学校町1-9-20,0258-39-8186,平成26年2月19日,医療法人社団さくら形成クリニック,後藤　清,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,37.440941,138.858948
408,笹川眼科,940-2112,長岡市,大島本町5-113,0258-28-5005,平成18年8月16日,笹川　智幸,笹川　智幸,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,0,,,37.445480,138.819229
409,自明堂眼科,940-0064,長岡市,殿町3-2-8,0258-32-1217,平成1年4月1日,(医社）自明堂医院,笛田　孝明,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,0,,,37.446144,138.848694
410,七條胃腸科内科医院,940-0875,長岡市,新保6丁目77番地,0258-22-7177,平成22年4月1日,(医社）セッテローザ,七條　公利,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,0,内科：女性内科、内視鏡内科、漢方内科、食道内科、乳腺内科、胃腸内科,,37.468151,138.868912
411,長岡健康管理センター,940-2101,長岡市,千秋2-229-1,0258-28-3666,平成19年4月1日,一般財団法人　新潟県けんこう財団,明石　明夫,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,37.458366,138.828369
412,しなのハートクリニック,940-0098,長岡市,信濃2-6-18,0258-37-0521,平成17年8月1日,石黒　淳司,石黒　淳司,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,歯科標榜,○,37.450813,138.837814
413,じゅん脳外科内科,940-0025,長岡市,泉2-4-1,0258-39-8155,平成11年9月1日,(医社）じゅん脳外科・内科,土田　秀夫,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,0,,,37.464409,138.852646
414,特別養護老人ホーム縄文の杜関原医務室,940-2035,長岡市,関原町1丁目字上ﾉ沢1072ｰ1,0258-21-5055,平成17年9月1日,(社福）長岡三古老人福祉会,本田　雅浩,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,37.442741,138.768616
415,新保内科医院,940-2106,長岡市,古正寺3-12,0258-25-8282,平成21年4月1日,(医社)　新俊会,新保　俊光,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,37.458504,138.824814
416,医療法人社団　杉本医院,940-0087,長岡市,千手3-1-9,0258-32-3018,平成12年4月1日,(医社）杉本医院,杉本　伸彦,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,37.443325,138.844650
417,鈴木内科医院,940-0087,長岡市,千手1-8-6,0258-35-6946,平成8年4月1日,(医社）鈴木内科医院,鈴木　信明,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,37.440052,138.843613
418,セントポーリアウイメンズクリニック,940-2116,長岡市,南七日町2-8,0258-21-0800,平成15年4月1日,(医社）セントポーリアクリニック,星野　明生,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,,,0,女性内科,,37.441418,138.800995
419,特別養護老人ホーム千秋　診療所,940-2108,長岡市,千秋2丁目221番地14,0258-28-8820,平成20年7月1日,(社福)長岡福祉協会,石黒　淳司,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,37.459034,138.827637
420,髙木内科クリニック,940-2105,長岡市,緑町1-37-2,0258-21-3500,平成15年4月1日,(医社）髙木クリニック,高木　正人,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,37.450565,138.824371
421,高野医院,940-0048,長岡市,台町1-9-6,0258-32-0767,平成1年10月1日,(医社）高野医院,高野　勝,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,37.444481,138.854385
422,高橋内科医院,940-0836,長岡市,豊田町7-10,0258-36-5666,平成1年8月1日,(医社）高橋内科医院,高橋　暁,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,37.429661,138.854935
423,田中医院,940-0094,長岡市,中島7-1-31,0258-35-3377,平成1年8月1日,(医社）田中医院,田中　直行,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,37.459259,138.850510
424,田辺医院,940-0054,長岡市,稽古町甲1663甲,0258-33-7661,昭和61年12月1日,(医社）雄志会,田辺　一彦,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,0,,,37.454460,138.855499
425,こころのクリニック　ウィズ,940-0061,長岡市,台町2丁目1-16,0258-34-7502,令和4年11月8日,社会医療法人崇徳会,後藤　雅博,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,37.446011,138.855850
426,土田内科循環器科クリニック,940-0033,長岡市,今朝白3-12-29,0258-39-8888,平成7年9月1日,(医社）土田内科循環器科クリニック,土田　桂蔵,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,37.450871,138.859909
427,桐樹園診療所,940-2126,長岡市,西津町字原4668,0258-47-2200,平成4年4月1日,(社福）長岡福祉協会,田崎　哲也,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,37.430225,138.799759
428,長尾医院,940-0034,長岡市,福住3-6-21,0258-32-3123,平成6年12月12日,(医社）長尾医院,長尾　政之助,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,37.454041,138.858459
429,長岡眼科医院,940-0033,長岡市,今朝白1丁目7番12号,0258-39-5577,平成19年11月11日,医療法人信眼会,安藤　伸朗,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,,6,,,37.446152,138.857803
430,長岡技術科学大学体育保健センター,940-2137,長岡市,上富岡町1603-1,0258-46-6000,,国立大学法人長岡技術科学大学,今井　紳一郎,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,37.424774,138.778793
431,長岡休日・夜間急患診療所,940-0084,長岡市,幸町2-1-1,0258-37-1199,平成26年5月13日,一般社団法人　長岡市医師会,草間　昭夫,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,37.435719,138.839935
432,長岡市健康増進課,940-0084,長岡市,幸町2-1-1,0258-32-5000,平成26年4月21日,長岡市長,（巡回診療）,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,歯科標榜,○,37.435719,138.839935
433,長岡市中越こども急患センター,940-0084,長岡市,幸町2-1-1,0258-86-5099,平成26年5月13日,長岡市長,草間　昭夫,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,37.435719,138.839935
434,長岡市役所医務室,940-8501,長岡市,大手通1丁目4番地10ｱｵｰﾚ長岡1階,0258-39-2201,平成24年11月27日,長岡市長,藤田　信也,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,37.446819,138.851379
435,ながおか生協診療所,940-0042,長岡市,前田1-6-7,0258-39-7001,平成7年5月10日,ながおか医療生活協同組合,羽賀　正人,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,0,,,37.436981,138.860474
436,長岡レディースクリニック,940-0875,長岡市,新保2丁目5番43号,0258-22-7780,平成26年4月1日,医療法人社団　長岡レディースクリニック,七里　和良,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,,,37.463577,138.866226
437,新潟県赤十字血液センター長岡出張所,940-2108,長岡市,千秋2丁目1087番1,0258-29-2350,平成22年12月21日,日本赤十字社,中野　研一,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,37.458450,138.826279
438,一般社団法人新潟県労働衛生医学協会附属アクアーレ長岡健康増進センター,940-2147,長岡市,新陽2-5-1 ｱｸｱｰﾚ長岡2階,0258-47-5811,平成9年4月22日,一般社団法人　新潟県労働衛生医学協会,入澤　敬夫,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,0,,,37.428600,138.753708
439,新潟少年学院医務課診療所,940-0828,長岡市,御山町117-13,0258-35-0118,,法務省,,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,歯科標榜,○,37.424042,138.880814
440,新潟県長岡保健所,940-0857,長岡市,沖田3丁目2711番地1,0258-33-4930,昭和60年3月14日,新潟県知事,園田　裕久,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,37.446068,138.868011
441,にしむら女性クリニック,940-0875,長岡市,新保6-86,0258-24-2525,平成20年8月1日,西村　紀夫,西村　紀夫,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,,,37.468151,138.868912
442,西脇耳鼻咽喉科医院,940-2023,長岡市,蓮潟4-2-22,0258-20-5115,平成15年4月1日,(医社）西脇耳鼻咽喉科医院,西脇　智弘,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,0,,,37.467674,138.827560
443,野々村医院,940-0026,長岡市,石内1-1-1,0258-32-8733,平成11年11月1日,(医社）野々村医院,野々村　直文,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,0,,,37.460560,138.853806
444,野村こどもクリニック,940-1151,長岡市,三和3-8-14,0258-39-3660,平成15年10月18日,野村　裕治,野村　裕治,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,37.433468,138.837418
445,特別養護老人ホーム花の里かつぼ診療所,940-0804,長岡市,水穴町393番地,0258-44-8742,平成20年9月15日,(社福)長岡東山福祉会,北澤　仁,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,37.472038,138.921921
446,福居皮フ科医院,940-0064,長岡市,殿町2-5-1ﾛｲﾔﾙ長岡301,0258-36-1767,昭和57年6月17日,福居　憲和,福居　憲和,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,37.445862,138.849411
447,特別養護老人ホーム福住　医務・静養室,940-0034,長岡市,福住2丁目1番15号,0258-31-3281,平成21年7月1日,社会福祉法人長岡三古老人福祉会,長尾　政之助,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,37.451336,138.857452
448,藤田皮膚科クリニック,940-0084,長岡市,幸町1-8-25,0258-39-3434,平成13年9月1日,(医社）藤田皮膚科クリニック,藤田　繁,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,37.438709,138.841690
449,ほんだファミリークリニック,940-2145,長岡市,青葉台3-16-6,0258-46-6085,平成17年4月1日,(医社)ほんだファミリークリニック,本田　雅浩,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,37.441910,138.754211
450,槇山けやき苑医務室,940-2002,長岡市,槇山町1593-1,0258-29-2500,平成8年4月8日,(社福）長岡三古老人福祉会,森田　昌宏,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,37.481113,138.837326
451,まちだ園医務室,940-1111,長岡市,町田町字湯沢540,0258-39-3927,平成4年4月1日,(社福）長岡福寿会,荒川　太郎,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,37.415749,138.859329
452,丸岡医院,940-1106,長岡市,宮内5-9-3,0258-39-2422,平成3年7月1日,丸岡　稔,丸岡　稔,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,0,,,37.427074,138.842819
453,三上医院,940-0083,長岡市,宮原3-12-30,0258-32-7502,平成5年10月1日,(医社）三上医院,三上　理,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,37.437771,138.845337
454,美園内科クリニック,940-0866,長岡市,美園2-4-1,0258-35-0333,平成1年8月1日,(医社）美園内科クリニック,戸谷　真紀,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,37.461300,138.869354
455,みぞはた眼科,940-2108,長岡市,千秋2丁目278番地ﾘﾊﾞｰｻｲﾄﾞ千秋2F,0258-21-3395,平成24年1月14日,溝端　乃里夫,溝端　乃里夫,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,0,,,37.460854,138.827026
456,メッツ整形外科クリニック,940-0864,長岡市,川崎2-2479-1,0258-39-5517,平成18年10月1日,(医社)メッツ整形外科クリニック,長谷川　俊哉,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,0,,,37.451672,138.867157
457,やおえだ眼科,940-0053,長岡市,長町2-1649-1,0258-32-0833,令和4年10月1日,医療法人社団　やおえだ眼科,八百枝　潔,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,0,R4.10.1法人化,,37.455936,138.855545
458,山井医院,940-0033,長岡市,今朝白2-8-8,0258-32-5600,平成5年9月1日,(医社）山井医院,山井　健介,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,0,,,37.448944,138.858490
459,横山皮膚科,940-0033,長岡市,今朝白1-13-7,0258-32-7511,平成11年4月1日,(医社）横山皮膚科,横山　令,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,37.446815,138.858063
460,わきや医院,940-2039,長岡市,関原南2-4122-1,0258-47-1122,平成13年5月1日,(医社）わきや医院,脇屋　義彦,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,37.447571,138.774246
461,渡辺医院,940-0088,長岡市,柏町1-4-29,0258-33-1200,昭和63年10月1日,(医社）渡辺医院,渡邉　秀明,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,37.443081,138.847061
462,渡辺皮フ科医院,940-0053,長岡市,長町2丁目1番地2,0258-32-4967,平成19年6月11日,(医社）渡辺皮フ科医院,渡辺　修一,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,37.456287,138.854935
463,上原医院,954-0213,長岡市,下沼新田甲97,0256-98-2551,平成20年4月1日,(医社)麻布会,上原　兼宗,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,37.599686,138.863998
464,さえき内科,954-0124,長岡市,中之島三並569-6,0258-66-8500,平成16年10月1日,(医社)堀医院,佐伯　牧彦,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,37.537216,138.874512
465,特別養護老人ホーム中之島医務室,954-0124,長岡市,中之島字古新田2105ｰ6,0258-61-2828,平成17年9月1日,(社福）長岡三古老人福祉会,佐伯　牧彦,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,37.537216,138.874512
466,横田内科消化器科クリニック,949-5213,長岡市,小国町法坂910,0258-95-3141,平成12年4月1日,(医社)健誠会,横田　剛,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,0,,,37.296833,138.720215
467,長岡市小国診療所,949-5331,長岡市,小国町楢沢88,0258-95-2010,平成17年4月1日,長岡市長,福居　和人,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,37.284035,138.735596
468,おごしの里診療所,949-5331,長岡市,小国町楢沢90,0258-95-3110,平成5年4月1日,(社福)小越会,藤巻　克久,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,37.284035,138.735596
469,長岡市種苧原診療所,947-0201,長岡市,山古志種苧原2676-1,0258-59-3032,平成18年7月6日,長岡市長,佐藤　良司,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,常勤医師を探すため休止,,37.355751,138.934280
470,長岡市山古志診療所,947-0204,長岡市,山古志竹沢甲2835,0258-59-3807,平成17年4月1日,長岡市長,石川　忍,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,37.324604,138.882782
471,岩塚診療所,949-5414,長岡市,飯塚2800-1,0258-41-3232,平成19年4月1日,医療法人社団優樹会,横森　哲太郎,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,37.385742,138.756989
472,こしじ医院,949-5406,長岡市,浦641-1,0258-41-0707,平成11年10月1日,児玉　伸子,児玉　伸子,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,0,,,37.394890,138.789062
473,こしじの里診療所,949-5416,長岡市,不動沢2219-5,0258-41-0801,平成10年10月1日,(社福）小越会,今井　篤,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,37.365822,138.746552
474,白山診療所,949-5411,長岡市,来迎寺2426,0258-92-3321,平成6年4月1日,(医社）白山診療所,今井　篤,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,37.399380,138.792206
475,みのわの里更生園診療所,949-5416,長岡市,不動沢126-3,0258-92-4945,平成10年7月1日,(社福）中越福祉会,今井　篤,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,37.365822,138.746552
476,みのわの里療護園診療所,949-5416,長岡市,不動沢126-3,0258-92-3748,昭和56年3月26日,(社福）中越福祉会,今井　篤,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,37.365822,138.746552
477,特別養護老人ホームわらび園診療所,949-5406,長岡市,浦3060,0258-41-3150,平成8年3月1日,(社福）長岡老人福祉協会,佐藤　敏輝,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,37.388649,138.804245
478,横田内科・消化器科医院,949-5406,長岡市,浦9913-1,0258-41-0660,平成19年4月1日,（医社）横田内科・消化器科医院,横田　隆司,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,37.392399,138.802338
479,ほり内科医院,940-2314,長岡市,上岩井6813番地,0258-41-2525,平成20年6月1日,医療法人社団　ほり内科医院,堀　高史朗,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,37.489059,138.775284
