No,施設名,〒,所在地1,所在地2,℡,開　 設 年月日,開設者,管理者,歯科,矯正,小歯,口腔,備考,緯度,経度
279,のざき歯科医院,940-2115,長岡市,下山5-88-5,0258-27-1105,平成元年3月17日,野崎　顕,野崎　顕,1,0,1,0,,37.436352,138.816177
280,ひまわり歯科,940-0864,長岡市,川崎2-2478-1,0258-37-7778,平成27年4月1日,医療法人社団　ひまわり歯科,北澤　敦,1,1,0,0,,37.451672,138.867157
281,ブレス・デザイン　デンタルオフィス,940-0064,長岡市,殿町2丁目3-12,0258-84-7654,平成21年3月3日,吉岡　秀樹,吉岡　秀樹,1,1,1,0,,37.445293,138.850082
282,堀歯科医院,940-0052,長岡市,神田町2-1-19,0258-32-0377,平成2年11月2日,堀　慧,堀　慧,1,0,0,0,R7.7.31開設者変更に伴い廃止→R7.8.1開設,37.456032,138.853714
283,ほりきり歯科医院,940-2106,長岡市,古正寺3-254,0258-20-5255,平成13年3月5日,堀切　隆志,堀切　隆志,1,1,1,0,,37.459286,138.819244
284,長岡デンタルオフィス,940-2108,長岡市,千秋2丁目278番地,0258-94-9774,平成22年3月21日,小松　直美,小松　直美,1,1,1,1,,37.460854,138.827026
285,松井歯科医院,940-0094,長岡市,中島7-3-36,0258-36-5555,昭和53年2月25日,松井　進一,松井　進一,1,0,0,0,,37.459576,138.850281
286,まつだ歯科医院,940-1131,長岡市,十日町字西野々1009-2,0258-22-2877,平成6年3月10日,松田　武之,松田　武之,1,0,0,0,,37.384647,138.838257
287,医療法人　厚徳会　まつむら第二歯科,940-0037,長岡市,東栄1-2-33,0258-31-7202,平成12年9月25日,医療法人　厚徳会,金山　元信,1,1,1,1,,37.458549,138.863525
288,医療法人　徳真会　松村歯科長岡診療所,940-2103,長岡市,古正寺町29-3,0258-28-4108,平成7年5月22日,医療法人徳真会,毛利　充伸,1,1,1,1,,37.452686,138.819
289,丸山歯科クリニック,940-2035,長岡市,関原町3-乙14,0258-47-2488,平成5年4月12日,丸山　敦,丸山　敦,1,0,0,0,,37.455475,138.7686
290,三井田歯科医院,940-0845,長岡市,花園2-8-15,0258-39-1181,平成6年5月7日,三井田　浩,三井田　浩,1,0,0,0,,37.435005,138.860016
291,みどり町歯科医院,940-2105,長岡市,緑町1-86-33,0258-22-5002,平成16年5月1日,木倉　一樹,木倉　一樹,1,1,1,1,,37.451736,138.821426
292,山下歯科医院,940-0853,長岡市,中沢4-342,0258-34-6480,平成3年10月1日,(医社)山下歯科医院,山下　智,1,0,0,0,,37.440945,138.873505
293,やまだ歯科医院,940-2033,長岡市,上除町甲3591‐52,0258-21-0778,平成14年9月1日,山田　潤造,山田　潤造,1,0,1,0,,37.450233,138.782059
294,山田歯科医院,940-0071,長岡市,表町1-4-1,0258-32-2928,昭和61年12月1日,(医社）山田歯科医院,山田　浩之,1,0,1,0,,37.447784,138.847717
295,山田歯科クリニック,940-0043,長岡市,土合5-8-23,0258-36-1777,平成18年4月1日,(医社)山田歯科クリニック,山田　正幸,1,1,1,0,,37.437809,138.855774
296,やまもと歯科医院,940-0875,長岡市,新保3-1-48,0258-24-2045,平成元年5月6日,山本　晃一,山本　晃一,1,1,1,0,,37.464909,138.866623
297,ゆきの歯科医院,940-0825,長岡市,高畑町76-1,0258-31-2575,平成12年1月24日,雪野　伸剛,雪野　伸剛,1,0,0,0,,37.424023,138.866791
298,横山歯科医院,940-1105,長岡市,摂田屋1-2-63,0258-37-5833,平成6年4月2日,横山　和義,横山　和義,1,0,0,0,,37.411152,138.844986
299,吉川歯科医院,940-0861,長岡市,川崎町字山崎765-1,0258-35-1184,平成11年4月20日,吉川　祐市,吉川　祐市,1,0,1,0,,37.461678,138.865875
300,吉原歯科クリニック,940-2116,長岡市,南七日町30-8,0258-47-3200,平成6年5月1日,吉原　芳樹,吉原　芳樹,1,0,0,0,,37.443962,138.800034
301,米山歯科医院,940-2112,長岡市,大島本町5-114-3,0258-27-2347,令和4年10月1日,米山　知宏,米山　知宏,1,0,0,0,,37.445103,138.818726
302,ワキヤ歯科医院,940-0061,長岡市,城内町3丁目字観光院町甲893-36丸山ﾋﾞﾙ3階,0258-35-5210,平成20年4月1日,脇屋　礼慈,脇屋　礼慈,1,1,1,0,,37.450153,138.853699
303,中之島歯科診療所,954-0124,長岡市,中之島225-1,0258-66-6826,平成9年10月1日,田代　智宏,田代　智宏,1,0,0,0,,37.544094,138.879868
304,長岡市山古志歯科診療所,947-0204,長岡市,山古志竹沢甲2835,0258-59-2037,平成17年4月1日,長岡市長,星野　勝美,1,0,0,0,,37.324604,138.882782
305,長岡市小国歯科診療所,949-5211,長岡市,小国町七日町2607-6,0258-95-2222,平成17年6月1日,長岡市長,庭山　圭司,1,0,1,0,,37.317764,138.726242
306,かわうち歯科医院,940-2306,長岡市,脇野町2136,0258-42-2534,平成21年10月18日,河内　隆樹,河内　隆樹,1,0,0,0,,37.498974,138.783661
307,和田歯科医院,940-2311,長岡市,三島新保字杉ﾉ木3082,0258-42-3511,平成8年4月20日,和田　一彦,和田　一彦,1,0,0,0,,37.491768,138.801041
308,すずらん歯科医院,949-5411,長岡市,来迎寺白山2394,0258-92-5518,平成11年5月28日,宮　江利,宮　江利,1,0,1,0,,37.390301,138.779739
309,永井歯科医院,949-5411,長岡市,来迎寺3862,0258-92-2171,平成6年9月1日,(医社）永仁会,永井　正紀,1,0,0,0,,37.394798,138.784164
310,さかいデンタルクリニック,940-0221,長岡市,金町2-3-27,0258-52-5420,昭和63年11月26日,坂井　能達,坂井　能達,1,0,0,0,,37.481167,138.994522
311,小坂井歯科医院,940-2406,長岡市,与板町江西3-1-12,0258-72-2223,平成26年1月1日,小坂井　渉,小坂井　渉,1,0,0,0,,37.535236,138.815811
312,丸山歯科医院,940-2402,長岡市,与板町与板甲1,0258-72-2418,平成20年2月25日,丸山　博吉,丸山　博吉,1,0,0,0,,37.541046,138.810989
313,おぐろ歯科医院,940-2507,長岡市,寺泊吉364-8,0258-75-5588,平成6年6月1日,小黒　一郎,小黒　一郎,1,0,0,0,,37.634789,138.783966
314,桐原歯科医院,959-0154,長岡市,寺泊五分一2862-1,0256-98-5577,平成元年3月6日,(医社）信和会,齋藤　幸雄,1,0,0,0,,37.600311,138.790466
315,桑原歯科医院,940-2502,長岡市,寺泊白岩7220-3,0258-75-4881,平成2年1月4日,桑原　直久,桑原　直久,1,0,0,0,,37.657505,138.774933
316,コロニーにいがた白岩の里歯科診療所,940-2502,長岡市,寺泊藪田6789-4,0258-75-3131,昭和62年6月1日,新潟県知事,大島　邦子,1,0,0,0,,37.658684,138.78595
317,歯科　斎藤医院,959-0165,長岡市,寺泊北曽根大溜2167-1,0256-98-6140,平成3年10月1日,斎藤　直樹,斎藤　直樹,1,0,0,0,,37.621857,138.823883
318,小見歯科医院,949-7504,長岡市,東川口1979-63,0258-89-4076,平成4年11月11日,小見　司,小見　司,1,0,0,0,,37.273361,138.856583
319,大原歯科医院,954-0104,見附市,坂井町1702,0258-61-2218,平成13年8月7日,大原　睦,大原　睦,1,0,0,0,,37.567551,138.89151
320,金子歯科医院,954-0052,見附市,学校町2-1-58,0258-62-2620,平成元年10月2日,金子  伝一郎,金子　伝一郎,1,0,0,0,,37.532757,138.92009
321,金安歯科医院,954-0111,見附市,今町5丁目40-7,0258-66-7337,平成4年1月6日,金安  儀則,金安　儀則,1,0,0,0,,37.5536,138.891083
322,小坂井歯科クリニック,954-0059,見附市,昭和町2-3-3,0258-63-4111,昭和63年9月9日,小坂井  隆,小坂井　隆,1,0,0,0,,37.53141,138.914597
323,坂田歯科医院,954-0057,見附市,新町2-1-44,0258-62-0176,昭和53年9月30日,坂田  康一,坂田　康一,1,0,0,0,,37.527012,138.920074
324,さくら歯科医院,954-0053,見附市,本町1-4-7,0258-62-6489,平成17年2月16日,金井　朋隆,金井　朋隆,1,0,0,0,,37.52829,138.922928
325,末広歯科,954-0053,見附市,本町4丁目2-37,0258-63-4555,平成元年12月1日,星野  弘志,星野　弘志,1,0,1,0,,37.529964,138.925705
326,関崎歯科医院,954-0111,見附市,今町5丁目17番18号,0258-66-7600,平成3年11月1日,関崎  和夫,関崎　和夫,1,1,1,0,,37.550522,138.890381
327,中央歯科水澤,954-0052,見附市,学校町2-6-36,0258-62-1626,平成元年10月1日,医療法人社団　中央歯科水澤,水沢　正美,1,1,0,0,,37.532703,138.91597
328,中島歯科医院,954-0004,見附市,元町2丁目1番18号,0258-62-0020,平成2年5月2日,中島  郁夫,中島　郁夫,1,0,1,0,,37.534286,138.928833
329,西澤歯科クリニック,954-0082,見附市,柳橋町266-15,0258-66-8555,平成10年5月23日,西澤  泰朋,西澤　泰朋,1,0,1,0,,37.542301,138.899536
330,はやかわ歯科医院,954-0111,見附市,今町4丁目10-21,0258-66-0369,平成3年5月11日,早川  智道,早川　智道,1,0,1,0,,37.546154,138.891861
331,ひまわり歯科,954-0057,見附市,新町3-11-24,0258-63-1001,平成9年2月12日,山田  貴行,山田　貴行,1,0,0,0,,37.523838,138.917709
332,村上歯科医院,954-0056,見附市,南本町2-16-7,0258-63-3535,平成3年4月1日,医療法人社団　村上歯科医院,村上　京子,1,0,0,0,,37.522095,138.9245
333,やまざき歯科医院,954-0053,見附市,本町2-2-7 山崎ﾋﾞﾙ2F,0258-62-2346,平成17年11月21日,山崎 勝之,山崎　勝之,1,0,1,0,,37.527096,138.925232
334,山田歯科医院,954-0112 ,見附市,上新田町429-25,0258-66-2116,平成22年12月12日,医療法人社団　ニイガタクリニック,鶴巻　友美,1,1,1,1,,37.542858,138.886093
335,山本歯科医院,954-0057,見附市,新町1-9-32,0258-62-0434,昭和48年2月1日,山本 俊子,山本  俊子,1,0,0,0,,37.527016,138.921844
336,堀井スマイル歯科,940-2013,長岡市,下柳2丁目5-38,0258-86-8062,平成26年10月1日,医療法人社団仁優会,堀井　信哉,1,1,1,1,,37.472191,138.834427
337,たぐち歯科クリニック,940-0856,長岡市,美沢3丁目637,0258-77-2000,平成24年10月1日,田口 裕哉,田口　裕哉,1,0,1,0,,37.443146,138.8694
338,佐藤歯科医院,947-0027,小千谷市,平成1-4-7,0258-82-2352,昭和60年5月1日,佐藤　眞,佐藤　眞,1,0,0,0,,37.309181,138.794205
339,安部歯科医院,947-0101,小千谷市,片貝町6513,0258-84-2052,平成11年1月1日,安部　恒,安部　恒,1,0,1,0,,37.368992,138.775879
340,城内歯科医院,947-0028,小千谷市,城内1-14-2,0258-82-2003,昭和63年10月20日,藤巻　秀敏,藤巻　秀敏,1,1,1,0,,37.312199,138.793793
341,野沢歯科医院,947-0011,小千谷市,栄町9-7,0258-82-0468,平成2年6月11日,野沢　健,野沢　健,1,1,1,1,,37.29937,138.799744
342,星野歯科医院,947-0053,小千谷市,千谷川4-741-2,0258-83-2033,平成4年4月6日,星野　薫,星野　薫,1,0,0,0,,37.319427,138.798233
343,医療法人社団阿部歯科医院,947-0028,小千谷市,城内2-9-11,0258-83-4650,平成9年5月1日,医療法人社団阿部歯科医院,阿部　隆士,1,1,1,0,,37.31509,138.796188
344,わかば歯科,947-0054,小千谷市,若葉2-101,0258-83-1010,平成9年12月15日,山下　克弥,山下　克弥,1,0,0,0,,37.305805,138.782166
345,平和歯科医院,947-0035,小千谷市,桜町4989-2,0258-81-1050,平成10年4月13日,陳　瑞彬,陳　瑞彬,1,0,1,1,,37.311855,138.785446
346,なおえ歯科クリニック,947-0051,小千谷市,三仏生3489-2 べｲｼｱ小千谷店,0258-83-4848,平成17年3月13日,医療法人社団恵誠会,直江　昌利,1,1,1,1,,37.331944,138.811203
347,鈴木歯科医院,947-0101,小千谷市,片貝町5248,0258-84-2044,平成17年8月1日,医療法人社団鈴木歯科医院,鈴木　俊之,1,0,0,0,,37.36655,138.776855
348,あおやぎ歯科クリニック,940-0033,長岡市,今朝白1-4-1,0258-89-7871,平成26年4月30日,青柳　誠司,青柳　誠司,1,0,1,0,,37.445751,138.860153
349,えぐち歯科クリニック,940-0094,長岡市,中島5-1-19,0258-86-0118,平成27年4月13日,江口　洋輔,江口　洋輔,1,0,1,1,,37.453114,138.848602
350,さつき歯科医院,940-0864,長岡市,川崎6丁目7839-1,0258-94-4012,平成27年11月16日,小林　康子,小林　康子,1,0,1,0,,37.455357,138.871155
351,とちお歯科クリニック,940-0204,長岡市,新栄町2丁目3-35,0258-53-0077,平成28年4月1日,医療法人社団　とちお歯科クリニック,廣瀬　大希,1,0,1,1,,37.487656,138.997162
352,たなか歯科,940-0835,長岡市,錦1丁目5番5号,0258-35-5600,平成28年6月7日,田中　慎一,田中　慎一,1,1,1,1,,37.42979,138.856277
353,中央歯科,940-0875,長岡市,新保6丁目250,0258-89-7778,平成28年9月1日,佐藤　健治,佐藤　健治,1,0,0,0,,37.468151,138.868912
354,木村歯科医院,947-0028,小千谷市,城内1-4-18,0258-77-9764,令和7年12月1日,医療法人社団　木村歯科医院,木村　勝年,1,1,1,1,R7.11.30開設者変更のため廃止→R7.12.1開設（法人化）,37.313004,138.798111
355,速水歯科医院,954-0059,見附市,昭和町2-9-7,0258-63-5118,平成28年12月1日,医療法人社団　速水歯科医院,速水  孝和,1,1,1,0,,37.529785,138.910172
356,近藤歯科医院,940-0041,長岡市,学校町3-11-2,0258-35-3590,平成29年1月1日,近藤　孝洋,近藤　孝洋,1,0,0,0,,37.444199,138.858368
357,生協ながおかデンタルクリニック,940-1101,長岡市,沢田1-2-1,0258-37-8810,平成29年4月11日,ながおか医療生活協同組合,後藤　基誉,1,1,1,1,,37.425663,138.84552
358,しんざわ矯正歯科クリニック,940-2106,長岡市,古正寺3丁目289番地,0258-86-8640,平成29年5月1日,医療法人社団 しんざわ矯正歯科クリニック,新澤　牧子,1,1,0,0,,37.458462,138.817825
359,ヒッポ歯科クリニック,940-2123,長岡市,七日町字川原374 ｱｸﾛｽﾌﾟﾗｻﾞ長岡七日町内,0258-89-8451,平成30年3月7日,野口　友美,野口　友美,1,0,1,0,,37.444237,138.805618
360,越後さんとう歯科診療所,949-5408,長岡市,越路中沢274番地1,0258-92-5810,平成30年8月1日,医療法人社団　越路会,佐藤　昭弘,1,0,0,0,,37.414043,138.797607
361,佐藤歯科,940-0066,長岡市,東坂之上町1-4-3ｽｶｲﾊｲﾂ102,0258-34-4180,平成30年9月1日,医療法人社団　慈誠会,佐藤　直久,1,0,1,0,,37.446831,138.850479
362,長岡おとな・こども歯科クリニック,940-0071,長岡市,表町2丁目2-21 ながおか町口御門 1階,0258-36-3280,平成30年10月1日,医療法人社団　智明会,廣澤　利明,1,0,1,1,,37.448784,138.847839
363,古正寺ファミリー歯科,940-2106,長岡市,古正寺一丁目3058番地2,0258-29-6480,平成30年10月1日,医療法人社団古正寺ファミリー歯科,渡邊　一也,1,0,1,1,,37.455387,138.817352
364,関歯科医院,940-1106,長岡市,宮内1丁目1番4号,0258-33-7695,平成31年1月1日,関　晋太郎,関　晋太郎,1,0,0,0,,37.417465,138.84201
365,北ながおか歯科診療所,940-0016,長岡市,宝2丁目2-16,0258-89-6693,平成31年2月15日,医療法人越路会,鷲津　聡,1,0,0,0,,37.482662,138.857788
366,つるがや歯科クリニック,954-0051,見附市,本所1丁目9番41号,0258-94-4120,平成31年3月18日,鶴谷　和明,鶴谷　和明,1,0,1,0,,37.538353,138.909592
367,医療法人みずほ　みずほ歯科口腔外科,954-0124,長岡市,中之島1909-15,0258-86-7785,令和7年12月1日,医療法人みずほ,山田　裕士,1,1,1,1,R7.11.30開設者変更のため廃止→R7.12.1開設（法人化）,37.537216,138.874512
368,河内歯科クリニック,940-0095,長岡市,日赤町1-4-16,0258-32-2945,令和2年9月1日,河内　崇,河内　崇,1,0,1,1,,37.45047,138.841614
369,加藤歯科医院,949-5411,長岡市,来迎寺前田3931,0258-92-3355,令和3年5月1日,加藤　和広,加藤　和広,1,0,0,0,,37.390301,138.779739
370,佐藤歯科医院,940-0053,長岡市,長町1丁目1番地7,0258-32-0210,令和3年6月1日,医療法人社団　慈誠会,佐藤　友秀,1,0,1,0,,37.451977,138.853119
371,エルク歯科,954-0067,見附市,葛巻町1665-1見附ｼｮｯﾋﾟﾝｸﾞｾﾝﾀｰMISC-K棟104号,0258-89-8848,令和3年12月16日,佐藤　英明,佐藤　英明,1,0,1,1,,37.530216,138.908844
372,キューアンドエー歯科医院,940-0840,長岡市,旭岡2丁目2番地,0258-89-7791,令和4年3月17日,内藤　俊幸,内藤　俊幸,1,1,1,1,,37.427273,138.85881
373,石原歯科医院,940-0226,長岡市,滝の下町8-49,0258-52-2204,令和5年10月1日,石原　紀彰,石原　紀彰,1,0,1,0,,37.472542,138.997437
374,大島通り歯科,940-2112,長岡市,大島本町5丁目118-18,0258-86-0500,令和5年12月1日,医療法人社団　大島通り歯科,松澤　貴宏,1,0,1,1,,37.446377,138.818069
375,長岡I’s歯科,940-0061,長岡市,城内町一丁目611番地1 CoCoLo長岡ﾒﾃﾞｨｶﾙﾍﾙｼｰﾓｰﾙD,0259-94-5056,令和6年4月1日,医療法人社団　新心会,佐藤　達也,1,1,1,1,,37.44659,138.853516
376,小坂井歯科クリニック,940-0836,長岡市,豊田町11-40,0258-37-1839,令和6年5月1日,小坂井　巌,小坂井　巌,1,0,1,0,,37.430984,138.853287
377,花園歯科,940-0845,長岡市,花園3-9-27,0258-89-8899,令和7年7月24日,源川　裕子,源川　裕子,1,0,1,0,,37.435261,138.863235
378,石上歯科医院,949-7413,魚沼市,堀之内4011-8,025-794-2201,平成元年10月1日,医療法人社団双也会,石上　也澄志,1,0,0,0,,37.240593,138.928116
379,黒岩歯科医院,946-0021,魚沼市,佐梨645-8,025-792-6175,昭和52年11月13日,黒岩茂,黒岩　茂,1,0,0,0,,37.227642,138.968063
380,医療法人社団　星歯科医院,946-0076,魚沼市,井口新田312-2,025-792-6655,昭和61年12月1日,医療法人社団　星歯科医院,関　明仁,1,1,1,0,,37.23307,138.96228
381,高木歯科クリニック,946-0002,魚沼市,稲荷町1-12,025-792-9330,平成4年10月1日,高木勝也,高木　勝也,1,1,1,0,,37.232899,138.958374
382,おがわ歯科クリニック,946-0011,魚沼市,小出島321-1,025-792-7751,平成18年4月1日,医療法人社団　おがわ歯科クリニック,小川　英幸,1,1,1,1,,37.231152,138.958511
383,かみむら歯科医院,946-0076,魚沼市,井口新田157-1,025-793-1220,平成9年9月11日,上村正人,上村　正人,1,0,0,0,,37.23111,138.972977
384,さとう歯科医院,946-0076,魚沼市,井口新田948-6,025-793-2172,平成12年1月13日,佐藤公彦,佐藤　公彦,1,0,1,0,,37.229294,138.969055
385,ゆのたに歯科,946-0076,魚沼市,井口新田547-12,025-792-6373,平成29年4月1日,磯貝　義人,磯貝　義人,1,0,0,0,,37.232643,138.968048
386,星歯科医院,946-0007,魚沼市,四日町19番2,025-792-0066,令和4年11月17日,医療法人　星仁会,星　嵩,1,1,1,0,,37.235268,138.952438
387,守門みまもり歯科,946-0216,魚沼市,須原1237-1,025-793-7878,令和6年11月5日,木多　伸彰,木多　伸彰,1,0,0,0,,37.317806,139.017715
388,腰越歯科医院,949-6102,湯沢町,大字神立196-6,025-784-4511,昭和59年4月3日,腰越　厚子,腰越　厚子,1,0,0,0,,36.936665,138.815674
389,斉藤デンタルクリニック,949-6101,湯沢町,湯沢2511-3ｼｬﾙﾏﾝ湯沢104号,025-784-4180,昭和63年1月1日,斉藤　貢,斉藤　貢,1,0,1,0,,36.935802,138.806931
390,齊藤歯科医院,949-6408,南魚沼市,塩沢1407,025-782-0107,平成16年1月1日,齊藤　香織,齊藤　香織,1,0,1,0,,37.038548,138.848022
391,髙橋デンタルクリニック,949-6543,南魚沼市,早川260-2,025-782-4710,平成10年12月21日,髙橋　俊男,髙橋　俊男,1,0,0,0,,37.024654,138.871475
392,五日町病院付属歯科診療所,949-7101,南魚沼市,五日町2324,025-776-2790,昭和60年12月7日,医療法人　越南会,星野　研,1,0,0,0,,37.124699,138.902969
393,小嶋歯科医院,949-6680,南魚沼市,六日町123-16,025-772-2149,平成元年10月1日,医療法人社団　小嶋歯科医院,小嶋　誠,1,0,0,0,,37.065247,138.877975
394,中沢歯科医院,949-7101,南魚沼市,五日町575-3,025-776-2035,昭和63年11月16日,中澤　文憲,中澤　文憲,1,0,0,0,,37.118355,138.90419
395,中島歯科医院,949-6680,南魚沼市,六日町2792,025-772-8148,昭和63年11月8日,中島　雅之,中島　雅之,1,0,0,0,,37.06715,138.872345
396,さわた歯科医院,949-7302,南魚沼市,浦佐1137 USﾋﾞﾙ1F,025-777-4925,平成11年9月1日,医療法人社団　恵誠会,長野　龍嗣,1,1,0,0,,37.16621,138.92485
397,ながおか歯科ピア,949-6608,南魚沼市,美佐島1873-1,025-773-2040,平成25年10月1日,大島　丈,大島　丈,1,1,1,0,,37.084442,138.888016
398,わがた歯科医院,949-6680,南魚沼市,六日町892-48,025-778-1515,平成26年10月1日,医療法人社団　わがた歯科医院,我田　健,1,0,1,1,,37.057697,138.874481
399,はっとり歯科医院,949-7316,南魚沼市,一村尾1625-1,025-780-4130,平成28年9月1日,医療法人社団　ファイブラック,服部　幸男,1,0,1,1,,37.15033,138.91188
400,なかむら歯科クリニック,949-6680,南魚沼市,六日町790-12ｶﾐﾑﾗﾋﾞﾙ1階,025-788-0118,令和3年5月19日,中村　貴文,中村　貴文,1,0,1,1,,37.05941,138.873611
401,うおぬま矯正歯科クリニック,949-7302,南魚沼市,浦佐918-1,025-777-3770,令和5年10月12日,西野　和臣,西野　和臣,0,1,0,0,,37.167477,138.922089
402,グッドモーニングデンタル,949-6680,南魚沼市,六日町字屋敷1818番地2 六日町第四ﾋﾞﾙ 1階,025-788-1943,令和8年3月1日,河原田　壮史,河原田　壮史,1,0,0,0,,37.06958,138.879044
403,田村歯科医院,948-0062,十日町市,昭和町3丁目22番地,025-757-8920,平成元年8月1日,医療法人社団　田村歯科医院,田村　隆英,1,0,1,0,,37.133446,138.758255
404,中林歯科医院,948-0084,十日町市,七軒町259-7,025-757-2335,平成28年1月1日,中林　靖,中林　靖,1,0,0,0,,37.131992,138.758423
405,中町歯科医院,949-8603,十日町市,下条3-482,025-755-2019,平成17年12月20日,中町　忠詩,中町　忠詩,1,0,0,0,,37.196285,138.777969
406,蕪木歯科医院,948-0082,十日町市,本町3丁目2番地3,025-752-5380,令和8年1月1日,川村　文子,川村　文子,1,0,0,0,,37.132828,138.760803
407,二瓶歯科医院,948-0006,十日町市,四日町1462,025-752-4888,平成3年8月1日,二瓶　広之,二瓶　広之,1,0,0,0,,37.149273,138.764343
408,和歯科医院,948-0013,十日町市,卯123,025-752-5622,昭和63年10月8日,関口　和明,関口　和明,1,0,0,0,,37.121265,138.790115
409,西野歯科医院,948-0088,十日町市,駅通り238番地1,025-752-4346,昭和59年6月6日,西野　和之,西野　和之,1,1,1,0,,37.134563,138.757965
410,鈴木歯科医院,948-0053,十日町市,錦町1-48-1,025-757-2263,昭和62年5月25日,鈴木　宏,鈴木　宏,1,1,1,0,,37.128551,138.750061
411,中央歯科医院,948-0082,十日町市,本町4丁目62番地,025-752-2797,昭和59年4月3日,中林　弘,中林　弘,1,0,0,0,,37.134365,138.760956
412,水沢歯科医院,949-8524,十日町市,馬場丙1507,025-758-3358,平成3年6月1日,服部　純一,服部　純一,1,0,0,0,,37.091362,138.727722
413,ホープ歯科クリニック,948-0051,十日町市,寿町2-6-25,025-752-0525,平成7年10月2日,阿部　正彦,阿部　正彦,1,0,0,0,,37.127789,138.752899
414,田中歯科医院,948-0144,十日町市,水口沢66,025-768-4329,昭和57年10月19日,田中　溶一,田中　溶一,1,1,0,0,,37.160793,138.736389
415,津南デンタルクリニック,949-8201,津南町,大字下船渡丁7962-1 ,025-765-3478,平成20年4月1日,医療法人社団津南デンタルクリニック,山田　陽子,1,0,0,0,,37.026825,138.672546
416,村山歯科医院,949-8201,津南町,大字下船渡甲4592,025-765-4911,平成7年4月5日,村山　正徳,村山　正徳,1,0,0,0,,37.026825,138.672546
417,伊藤歯科クリニック,942-1406,十日町市,松之山1603-2             ,025-596-2067,平成22年11月1日,伊藤　淳一,伊藤淳一,1,1,1,1,,37.082775,138.60112
418,ひまわり歯科クリニック,949-8406,十日町市,山崎己1415,025-763-2020,平成18年12月13日,日笠　理絵,日笠　理絵,1,0,0,0,,37.051147,138.694412
419,Nakajima Dental Studio,949-8206,津南町,大字外丸丁1481-1,025-765-5676,平成19年5月9日,中島　大和,中島　大和,1,0,0,0,,37.030327,138.638916
420,中条歯科クリニック,949-8615,十日町市,中条甲826-9,025-761-7205,令和5年11月1日,医療法人　雅美会,小野島　寛子,1,1,1,0,,37.162502,138.770966
421,つまり歯科,948-0055,十日町市,高山3丁目493-9,025-757-1777,令和7年10月1日,医療法人　雅美会,大久保　雅基,1,1,1,1,,37.132156,138.74707
422,井比歯科医院,945-0076,柏崎市,小倉町7-8,0257-22-2955,昭和60年1月1日,井比　陽,井比　陽,1,1,1,1,,37.371704,138.564331
423,岡島歯科医院,945-0051,柏崎市,東本町2-7-55,0257-22-2854,昭和59年10月1日,岡島　元久,岡島　元久,1,0,1,1,,37.370041,138.557907
424,静雅堂歯科医院,945-0066,柏崎市,西本町2-7-4,0257-23-8840,平成4年1月1日,布施　眞也,布施　眞也,1,0,0,0,,37.367348,138.548935
425,大塚歯科医院,945-0842,柏崎市,米山台4-1-7,0257-24-0968,昭和54年9月1日,大塚　誠之輔,大塚　誠之輔,1,0,0,0,,37.354061,138.539581
426,勝海歯科医院,945-0063,柏崎市,諏訪町12-4,0257-22-2316,平成17年3月1日,勝海　昭,勝海　昭,1,0,0,0,,37.372921,138.561813
427,阿部歯科医院,945-0043,柏崎市,日吉町1-2,0257-24-5800,平成元年10月1日,医療法人社団　阿部歯科医院,阿部　晴弘,1,1,1,1,,37.369415,138.571259
428,きたざわ歯科,945-0821,柏崎市,幸町1-7,0257-22-6231,平成4年9月1日,医療法人社団　北沢歯科医院,北澤　智昭,1,1,1,1,,37.362202,138.557159
429,刈羽村歯科診療所,945-0307,刈羽村,大字刈羽1026,0257-45-3553,昭和57年10月8日,刈羽村長,西山　正吾,1,0,0,0,,37.427818,138.616623
430,柏崎歯科休日急患診療所,945-0061,柏崎市,栄町18-3,0257-23-1463,昭和58年11月1日,柏崎市長,平田　伸明,1,0,0,0,,37.374725,138.554871
431,（医）高橋歯科医院,945-0064,柏崎市,中央町8-13,0257-23-7727,平成元年10月1日,医療法人社団　高橋歯科医院,高橋　堅護,1,0,0,0,,37.373611,138.558289
432,（医）新沢歯科医院,945-0822,柏崎市,穂波町2-2,0257-22-4500,平成3年8月1日,医療法人社団　新沢歯科医院,新澤　秀樹,1,1,1,1,,37.359997,138.556366
433,安田歯科,945-1352,柏崎市,大字安田1921-2,0257-22-0663,令和3年1月1日,水嶌　一尊,水嶌　一尊,1,0,0,0,,37.348652,138.607132
434,（医）いしかわ歯科,945-0033,柏崎市,東長浜8-45,0257-22-1177,昭和61年12月1日,医療法人社団　いしかわ歯科,石川　繁,1,0,1,0,,37.369377,138.578918
435,まえかわ歯科クリニック,945-0053,柏崎市,鏡町7番12号,0257-24-4624,令和3年4月20日,医療法人社団　前川歯科医院,前川　雄哉,1,1,1,1,,37.36797,138.559494
436,ひまわり歯科医院,949-4141,柏崎市,西山町西山206-11,0257-48-2152,昭和61年4月1日,鈴木　公子,鈴木　公子,1,1,1,1,,37.44875,138.641357
437,まつなみ歯科,945-0011,柏崎市,松波1-19-43,0257-24-4337,平成2年4月1日,医療法人社団　高野会　,高野　清,1,1,1,1,,37.390366,138.571762
438,ばんば歯科クリニック,945-0041,柏崎市,松美1-1-31,0257-23-0204,平成3年8月1日,医療法人社団　ばんば歯科クリニック,萬羽　加津雄,1,1,0,0,,37.373814,138.574554
